Tanggal,Username,Tweet
"
2021-04-25 12:31:26",symmirilhm,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:31:21",HafiziHasan1,"RT @JapenKelantan: Tolong pakai mask/pelitup separuh muko dgn betul adik kakok. Tutup hidung dan mulut buke letok sakut di dagu.

Info On W…"

"
2021-04-25 12:31:11",HafiziHasan1,"RT @JapenKelantan: Tolong pakai mask/pelitup separuh muko dgn betul adik kakok. Tutup hidung dan mulut buke letok sakut di dagu.

Info On W…"

"
2021-04-25 12:31:04",HafiziHasan1,"RT @JapenKelantan: Tolong pakai mask/pelitup separuh muko dgn betul adik kakok. Tutup hidung dan mulut buke letok sakut di dagu.

Info On W…"

"
2021-04-25 12:31:03",afinasyahmah2,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:31:01",riffixz,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:30:59",HafiziHasan1,"RT @JapenKelantan: Tolong pakai mask/pelitup separuh muko dgn betul adik kakok. Tutup hidung dan mulut buke letok sakut di dagu.

IOW

25/4…"

"
2021-04-25 12:30:33",AmirLancelot,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:30:28",sarramones,@maanamrie Aku terpaksa bertekak sebab macam bangang sangat tapi kan aku jadi speechless sebab diorang ada je sebab… https://t.co/0xpK23GXpx

"
2021-04-25 12:30:21",junepenguinn,"@doramaquinn @kochengfess Lockdown dulu aja kitten2nya, jaga kebersihan juga jgn sampe pegang kucing2 lain dan sela… https://t.co/k9Fsa8HPE8"

"
2021-04-25 12:30:20",Faujijpn_,@VIVAcoid Vaksin bukan satu2nya jalan utk mengakhiri pandemi...

"
2021-04-25 12:30:19",MinAbdulAziz,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:30:18",ahfirizqi,untung pas vaksin cm di suruh tarik nafas doang klo di suruh tarik uang di ATM saya udah nyerah duluan karena isiny… https://t.co/G2p2PbMHOY

"
2021-04-25 12:30:18",fatinnsyazwani_,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:30:09",sepasangkaki15,"Pakai vaksin pak Terawan. Ngapain impor impor. Payah memang 
#KitaLawanNeoPKI 
#KitaLawanNeoPKI https://t.co/f3xwHXzmxv"

"
2021-04-25 12:30:07",nrsyfqhathrh,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:30:04",VIVAlife_,"RT @VIVAcoid: Banyak yang Sudah Vaksin, Angka COVID-19 Klaster Perkantoran Meningkat https://t.co/ofGNfWoNTr"

"
2021-04-25 12:30:03",jawapos,Lebih dari 60.000 Warga Klaten Telah di Vaksin https://t.co/FVIe0NDbDX

"
2021-04-25 12:30:02",HesaUpm,@khairul_hafidz Terima kasih Dr Khairul Hafidz di atas kesudian menyertai program Vaksin Pro dan berkongsi ilmu kepada kami semua.

"
2021-04-25 12:29:58",NiniAmran,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:29:37",northease_,yaAllah bismillah anakku harus vaksin bulan ini https://t.co/KlqcVVHynZ

"
2021-04-25 12:29:33",VIVAcoid,"Banyak yang Sudah Vaksin, Angka COVID-19 Klaster Perkantoran Meningkat https://t.co/ofGNfWoNTr"

"
2021-04-25 12:29:30",SRahimiiii,"RT @The_Endie: Betul la tu, masa MCO 1.0, ramai takleh kerja, takleh berniaga. Dia syorkan kerajaan beri RM1K sebulan selama 3 bulan kpd B4…"

"
2021-04-25 12:29:29",brigthskies,@kochengfess Padahal rencananya hari ini vaksin ternyata malah sakit kucingnya😔 jadi mau ngga mau ditunda dulu huhu.

"
2021-04-25 12:29:14",wawarawr_,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:28:40",onetwosett,"@kochengfess Ya dok. Waktu itu kucingku mau vaksin tapi F3 sempet out of stock, jd kucingnya keburu kena panleu dan dia ga selamat huhuhu :("

"
2021-04-25 12:28:38",_itsmeDidi_,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:28:14",c_felis,sementara di sini kejadian vaksin dibuang https://t.co/vXSN6HFyIJ https://t.co/1EzQPXnZoQ

"
2021-04-25 12:27:52",amelrida,"gasuka vaksin ya gapapa, gausah gitu ngomongnya! otak sempit kuburannya sempit!"

"
2021-04-25 12:27:40",shrfhFa,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:27:33",junepenguinn,@kochengfess Siap nderrr ming udah vaksin F4 tapi rabiesnya bulan depan https://t.co/kYCfRukhLx

"
2021-04-25 12:27:31",AchipDillatul,"RT @PMR_Kuching: 5 Kaedah pendaftaran menerima vaksin COVID-19

Sumber @myhealthkkm

#COVID19
#LindungDiriLindungSemua
#KitaAkanMenang
#Kit…"

